word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms
be ready for,,v.,Sẵn sàng cho,"Thanks to her careful research, the applicant felt that she was ready for the interview with the director of the program.","Nhờ sự nghiên cứu cẩn thận của mình, người xin việc thấy rằng cô ta đã sẵn sàng cho cuộc phỏng vấn với người giám đốc của chương trình.",Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_ready_for.jpg,,,
call in,/A/,v.,"Yêu cầu, mời tới",The HR manager called in all the qualified applicants for a 2nd interview.,Giám đốc nhân sự mời tất cả các ứng viên đủ điều kiện cho một cuộc phỏng vấn lần 2.,Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/a/call_in.jpg,,,
confidence,/'kɔnfidəns/,n.,"Sự tin tưởng, sự tin cậy",I have confidence in Mai because she is my close friend.,Tôi tin tưởng Mai vì cô ấy là bạn thân của tôi.,Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/confidence1.jpg,,,
constantly,/'kɔnstəntli/,adj.,"Luôn luôn, liên tục, liên miên",The company is constantly looking for highly trained employees.,Công ty không ngừng tìm kiếm những nhân viên được đào tạo tốt.,Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/constantly1.jpg,,,
expert,/'ekspə:t/,n.,Chuyên gia,Do you have any questions for our computer expert today?,Các bạn có câu hỏi gì cho chuyên gia máy tính hôm nay không?,Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/expert1.png,,,
follow up,,"v, n.","(v) theo sau, bám riết",Always follow up an interview with a thank-you note,Luôn bám sát một cuộc phỏng vấn với một lá thư cám ơn ngắn.,Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/f/o/follow_up3.jpg,,,
hesitant,/'hezitənt/,adj.,"Do dự, lưỡng lự, ngập ngừng",Marla was hesitant about negotiating a higher salary.,Marla lưỡng lự về việc thương lượng một mức lương cao hơn.,Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/h/e/hesitant1.png,,,
present,/pri'zent/,v.,"Đưa ra, bày tỏ, giới thiệu",He presented the report to his colleagues at the meeting.,Anh ta đã trình bày bản báo cáo của mình với đồng nghiệp ở cuộc họp.,Apply and Interviewing,B1,https://audio.tflat.vn/data/images_example/300x225/h/e/he_present_ex1_56248cf47f8b9af80c011f8d.jpg,,,
weakly,/'wi:kli/,adv.,"Một cách yếu ớt, yếu, ốm yếu",Her hands trembled and she spoke weakly at the interview.,Tay cô ta run và cô ta nói giọng yếu ớt tại buổi phỏng vấn.,Apply and Interviewing,B1,https://audio.tflat.vn/data/cache/images/300x225/w/e/weakly1.png,,,
adjacent,/ə'dʤeizənt/,adj.,"Kế bên, liền kề, sát cạnh",My office is adjacent to the receptionist area on the third floor.,Văn phòng của tôi ở bên cạnh khu vực tiếp tân ở tầng ba.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/a/d/adjacent2.png,,,
collaboration,"/kə,læbə'reiʃn/",n.,"Sự cộng tác, hợp tác",We believe that it was our collaboration that enabled us to achieve such favorable results.,Chúng ta tin rằng sự hợp tác của chúng ta cho phép đạt được những kết quả có lợi đến thế.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/collaboration2.png,,,
concentrate,/'kɔnsentreit/,v.,Tập trung,I can’t concentrate because it’s very noisy.,Tớ không thể tập trung được vì quá ồn.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/concentrate2.png,,,
conducive,/kənˈdjuːsɪv/,adj.,"Có ích, có lợi",The soft lights and music were conducive to a relaxed atmosphere.,Các đèn chiếu sáng nhẹ và nhạc sẽ có ích cho một bầu không khí thoải mái.,Property & Departments,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_soft_l_ex1_56248d167f8b9a040dc66044.jpg,,,
disruption,/dis'rʌpʃn/,n.,‹sự› gián đoạn,The accident on the main road through town is causing widespread disruption for motorists.,Vụ tai nạn trên đường chính qua thị trấn đang gây ra sự gián đoạn trên diện rộng cho người lái xe.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/disruption2.png,,,
hamper,/'hæmpə/,v.,"Cản trở, gây trở ngại",The lack of supplies hampered our ability to finish on schedule.,Việc thiếu đồ dự trữ đã gây trở ngại cho khả năng hoàn thành đúng thời gian của chúng tôi.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/h/a/hamper2.png,,,
inconsiderately,/ˌɪnkənˈsɪdərətli/,adv.,"Thiếu thận trọng, sơ suất",The manager inconsiderately scheduled the meeting for late Friday afternoon.,Người giám đốc sơ suất lên lịch họp vào cuối buổi chiều thứ Sáu.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/inconsiderately.jpg,,,
lobby,/'lɔbi/,n.,"Hành lang, sảnh chờ",The reception area was moved from the lobby of the building to the third floor.,Khu vực tiếp tân đã được chuyển từ hành lang của tòa nhà lên tầng ba.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/l/o/lobby1.png,,,
move up,/muːv ʌp /,v.,"Tiến lên, thăng tiến","In order to move up in the company, employees had to demonstrate their loyalty.","Nhằm để thăng tiến trong công ty, các nhân viên phải biểu lộ lòng trung thành của họ.",Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/m/o/move_up1.png,,,
open to,/ˈəʊpən tə /,adj.,"Gánh chịu, bị ","Since the junior executive was still on probation, he was open to much scrutiny and criticism.","Bởi vì người nhân viên điều hành cấp thấp vẫn còn trong thời gian tập sự, anh hay bị săm soi và chỉ trích.",Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/o/p/open_to1.png,,,
opt,/ɔpt/,v.,"Chọn, chọn lựa; quyết định",The operations manager opted for the less expensive office design.,Trưởng phòng tác nghiệp đã chọn bản thiết kế văn phòng ít tốn kém.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/o/p/opt1.png,,,
scrutiny,/'skru:tini/,n., xem xét/kiểm tra kỹ lưỡng,Jim left his old job because he found it difficult to work under the close scrutiny of his boss.,Jim đã rời bỏ công việc cũ vì anh thấy khó làm việc dưới sự săm sõi kỹ lưỡng của sếp.,Property & Departments,B1,https://audio.tflat.vn/data/cache/images/300x225/s/c/scrutiny2.png,,,
appreciation,"/ə,pri:ʃi'eiʃn/",n.,Sự cảm kích,She shows little appreciation of good music.,Cô ấy cho thấy một chút sự đánh giá cao về thẩm mỹ âm nhạc tốt.,Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/a/p/appreciation2.jpg,,,
be made of,/bi: meɪd əv/,v.,Làm bằng (cái gì),This job will really test what you are made of.,Công việc này sẽ thật sự kiểm tra xem anh là người thế nào.,Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_made_of2.jpg,,,
bring in,/brɪŋ ɪn/,,"Tuyển dụng, dẫn tới",The company brings in new team of project planners.,Công ty thuê một đội mới cho các nhà hoạch định dự án.,Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/b/r/bring_in2.jpg,,,
casually,/ˈkæʒuəli/,adv.,"Bình thường, không trịnh trọng","On Fridays, most employees dress casually.","Vào các thứ Sáu, phần lớn nhân viên ăn mặc tùy ý (không mặc đồng phục).",Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/c/a/casually1.png,,,
code,/koud/,n.,"Quy tắc, luật lệ",Even the most traditional companies are changing their dress code to something less formal.,Thậm chí hầu hết các công ty theo lối cổ cũng đang thay đổi quy tắc ăn mặc của họ sao cho bớt trịnh trọng đi.,Office Procedures,B1,https://audio.tflat.vn/data/images_example/300x225/e/v/even_the_m_ex1_56248d157f8b9a040dc65e38.jpg,,,
expose,/iks'pouz/,v.,"Phơi bày, bộc lộ",He did not want to expose his fears and insecurity to anyone.,Anh ấy không muốn để lộ sự sợ hãi và bất an của mình cho bất cứ ai.,Office Procedures,B1,https://audio.tflat.vn/data/images_example/300x225/h/e/he_did_not_ex1_56248d157f8b9a040dc65e3c.png,,,
glimpse,/ɡlɪmps/,n.,Cái nhìn lướt qua,The secretary caught a glimpse of her new boss as she was leaving the office.,Cô thư ký bắt gặp ánh mắt lướt qua của người chủ mới khi cô ấy rời khỏi văn phòng.,Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/g/l/glimpse1.jpg,,,
out of,/aʊt əv/,adj.,"Hết, không còn",The presenter ran out of time before he reached his conclusion.,Người dẫn chương trình đã hết thời gian trước khi anh ta đi đến kết luận.,Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/o/u/out_of2.jpg,,,
outdated,/aut'deitid/,adj.,"Hết hạn; lỗi thời, lạc hậu, cổ, hiện nay không còn dùng (obsolete)","Before you do a mailing, make sure that none of the addresses is outdated.","Trước khi anh gửi thư, hãy bảo đảm rằng không có địa chỉ nào hiện không còn sử dụng",Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/o/u/outdated1.jpg,,,
practice,/'præktis/,v.,"Thực hành, rèn luyện ",Bill practiced answering the telephone until he was satisfied.,Bill thực tập trả lời điện thoại cho đến khi anh ta cảm thấy hài lòng.,Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/practice1.jpeg,,,
reinforce,"/,ri:in'fɔ:s/",v.,"Tăng cường, củng cố",Employees reinforced their learning with practice in the workplace.,Các nhân viên củng cố kiến thức của mình bằng việc thực hành ở nơi làm việc.,Office Procedures,B1,https://audio.tflat.vn/data/images_example/300x225/e/m/employees__ex1_56248d157f8b9a040dc65e44.jpg,,,
verbally,/'və:bəli/,adv.,"Bằng miệng, bằng lời nói",The guarantee was made only verbally.,Sự bảo đảm được cam kết chỉ bằng lời.,Office Procedures,B1,https://audio.tflat.vn/data/cache/images/300x225/v/e/verbally1.jpg,,,
movie,/'mu:vi/,n.,"Phim, điện ảnh",I like watching movies very much.,Tôi thích xem phim rất nhiều.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/m/o/movie2.jpg,,,
attainment,/ə'teinmənt/,n.,"Sự đạt được, thành tựu",The attainment of his ambitions was still a dream.,Việc đạt được những tham vọng của ông vẫn còn là một giấc mơ.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/a/t/attainment1.png,,,
combine,/'kɔmbain/,v.,"Kết hợp, phối hợp",The director combined two previously separate visual techniques.,Đạo diễn đã kết hợp 2 kỹ xảo hình ảnh riêng biệt trước đây lại với nhau.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/combine1.png,,,
continue,/kənˈtɪnjuː/,v.,"Tiếp tục, duy trì",He continued to ignore everything I was saying.,Anh ta tiếp tục bỏ qua tất cả những gì tôi nói.,Movies,B1,https://audio.tflat.vn/data/images_example/300x225/h/e/he_continu_ex1_56248cef7f8b9af60c1430bb.jpg,,,
description,/dis'kripʃn/,n.,"‹sự› diễn tả, mô tả; diện mạo, hình dạng",This is the description of our new house.,Đây là mô tả của ngôi nhà mới của chúng tôi.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/description2.jpg,,,
disperse,/dis'pə:s/,v.,"Giải tán, tan tác",Police dispersed the protesters with tear gas.,Cảnh sát giải tán người biểu tình bằng hơi cay.,Movies,B1,https://audio.tflat.vn/data/images_example/300x225/p/o/police_dis_ex1_56248d167f8b9a040dc661ec.jpg,,,
entertainment,"/,entə'teinmənt/",n.,"‹sự› giải trí, tiêu khiển",There was not entertainment for children of guests at the hotel.,Không có trò giải trí nào cho những vị khách trẻ em ở khách sạn.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/e/n/entertainment2.jpg,,,
influence,/ˈɪnfluəns/,v.,Ảnh hưởng ,My father was the biggest influence on my character.,Bố tôi là người ảnh hưởng lớn nhất tới tính cách tôi.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/influence-v1.jpg,,,
range,/reɪndʒ/,n.,Phạm vi,The range of the director's vision is impressive.,Tầm nhìn của đạo diễn là đầy ấn tượng.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/r/a/range1.png,,,
release,/rɪˈliːs/,v.,Phát hành,She is trying to release her album as planned.,Cô ấy đang cố gắng để phát hành đĩa nhạc của mình như đã dự định.,Movies,B1,https://audio.tflat.vn/data/images_example/300x225/s/h/she_is_try_ex1_56248d0b7f8b9a000de3cfa9.jpg,,,
representation,"/,reprizen'teiʃn/",n.,"Đại diện, sự diễn tả",The film's representation of world poverty through the character of the hungry child was quite moving.,Sự diễn tả của bộ phim về thế giới bần cùng thông qua nhân vật đứa trẻ đói khát thì khá là thương tâm.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/representation.jpg,,,
separately,/'seprətli/,adv.,Một cách riêng biệt,The theater was very crowded so we had to sit separately.,Rạp hát rất đông nên chúng tôi phải ngồi riêng rẽ.,Movies,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/separately1.png,,,
successive,/sək'sesiv/,adj.,"Kế tiếp, liên tiếp",This was their fourth successive win.,Đây là chiến thắng thứ tư liên tiếp của họ.,Movies,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/this_was_t_ex1_56248d167f8b9a040dc661fc.jpg,,,
accustom to,/əˈkʌstəm tu:/,v.,"Làm cho quen, tập cho quen",Chefs must accustom themselves to working long hours.,Các đầu bếp phải tự làm quen với việc nấu nướng trong nhiều giờ.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/accustom_to1.jpg,,,
apprentice,/ə'prentis/,n.,"Người học việc, người mới vào nghề",The cooking school has an apprentice program that places students in restaurants to gain work experience.,Trường dạy nấu ăn có một chương trình học nghề là đưa học viên đến các nhà hàng để lấy kinh nghiệm làm việc.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/a/p/apprentice1.png,,,
culinary,/'kʌlinəri/,adj.,Việc bếp núc,The chef was widely known for his culinary artistry.,Người đầu biết được biết đến rộng rãi về nghệ thuật thuật ẩm thực của ông ấy.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/c/u/culinary1.png,,,
demand,/dɪˈmɑːnd/,n.,Nhu cầu,Higher prices reduce demand.,Giá cao hơn làm giảm nhu cầu.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/demand1.jpg,,,
incorporate,/in'kɔ:pərit/,v.,Kết hợp chặt chẽ; hợp thành tổ chức/đoàn thể,Here are the fresh greens for you to incorporate into a salad.,Đây là rau tươi cho anh để kết hợp thành một món salad (rau trộn).,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/incorporate2.png,,,
influx,/'inflʌks/,n.,"Sự chảy vào, sự tràn vào","Due to the rise in popularity of cooking as a career, cooking schools report an influx of applications.","Vì việc gia tăng sự phổ biến của nghề nấu ăn, các trường dạy nấu ăn báo cáo một dòng chảy các đơn xin nhập học.",Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/influx1.png,,,
method,/ˈmeθəd/,n.,"Phương pháp, cách thức",Gloria perfected a simple method for making croissants.,Gloria đã hoàn thành một phương pháp đơn giản để làm bánh sừng bò.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/m/e/method1.jpg,,,
outlet,/'autlet/,n.,"Chỗ thoát ra, lối ra",Many people find cooking to be a hands-on outlet for their creativity.,Nhiều người xem nấu ăn là một phương tiện thực hành để thỏa mãn óc sáng tạo của mình.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/o/u/outlet1.png,,,
profession,/prəˈfeʃən/,n.,Nghề nghiệp,Cooking is considered as much a profession as law or medicine.,Nấu ăn được xem là một nghề nghiệp cũng như là nghề luật hay nghề y.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/profession1.jpg,,,
relinquish,/ri'liɳkwiʃ/,v.,"Từ bỏ, buông thả","After Claude married Kiki, he had to relinquish his exclusive hold on the kitchen and learn to share the joys of cooking.","Sau khi Claude lấy Kiki, anh ta đã phải từ bỏ độc quyền nắm giữ nhà bếp và biết chia sẻ niềm vui nấu nướng.",Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/relinquish1.jpg,,,
theme,/θi:m/,n.,"Đề tài, chủ đề",North American literature is the main theme of this year's festival.,Văn học Bắc Mỹ là chủ đề chính của lễ hội năm nay.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/t/h/theme1.jpg,,,
draw,/drɔ:/,v.,"Thu hút, lôi cuốn",Matthew was drawn to a career in cooking.,Matthew đã bị lôi cuốn với công việc nấu ăn.,Cooking As A Career,B1,https://audio.tflat.vn/data/cache/images/300x225/d/r/draw-v2.jpg,,,
access,/ˈækses/,n.,"Quyền truy cập, sự tiếp cận ",I cannot easily get access to the Internet.,Tôi không thể dễ dàng có được quyền truy cập vào Internet.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/access1.jpg,,,
allocate,/ˈæləkeɪt/,v.,"Cấp cho, phân phối",The office manager did not allocate enough money to purchase software.,Người quản lý văn phòng không cấp đủ tiền để mua sắm phần mềm.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/a/l/allocate1.png,,,
compatible,/kəm'pætəbl/,adj.,"Tương thích, hợp nhau ","Because my girlfriend and I listen to the same music artists, we have compatible tastes in music.","Vì tôi và bạn gái tôi cùng nghe nhạc của những nghệ sĩ giống nhau, nên chúng tôi hợp nhau về thị hiếu âm nhạc.",Computers and the Internet,B1,https://audio.tflat.vn/data/images_example/300x225/b/e/because_my_ex1_56248d157f8b9a040dc65e00.jpg,,,
delete,/di'li:t/,v.,"Xóa đi, bỏ đi",The technicians deleted all the data on the disk accidentally.,Kỹ thuật viên đã vô tình xóa mọi dữ liệu trên đĩa.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/delete2.jpg,,,
display,/dis'plei/,v.,"Hiển thị, trình bày ",The accounting program displays a current balance when opened.,Chương trình kế toán hiển thị một con số cân bằng thu chi khi mở (chương trình đó) ra.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/display1.jpg,,,
duplicate,/'dju:plikit/,v.,"Sao lại, nhân đôi",I think the new word processing program will duplicate the success of the one introduced last year.,Tôi nghĩ rằng chương trình xử lý văn bản mới sẽ thành công gấp đôi so với chương trình được giới thiệu hồi năm ngoái.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/d/u/duplicate2.jpg,,,
failure,/'feiljə/,n.,"Trượt, thất bại ",The success or failure of the plan depends on you.,Kế hoạch thành công hay thất bại là phụ thuộc vào bạn.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/f/a/failure1.png,,,
figure out,/ˈfɪɡə/,v.,"Đoán ra, giải ra","By examining all of the errors, the technicians were able to figure out how to fix the problem.","Bằng cách xem xét mọi lỗi, các kỹ thuật viên đã có thể tìm ra cách để sửa chữa các sự cố.",Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/f/i/figure_out.jpg,,,
ignore,/ig'nɔ:/,v.,"Bỏ qua, phớt lờ",He ignored all the things she said.,Anh ấy phớt lờ tất cả những gì cô ấy nói.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/i/g/ignore1.jpg,,,
search,/sə:tʃ/,n.,"Cuộc tìm kiếm, thăm dò",Our search of the database produced very little information.,Việc tìm kiếm trong cơ sở dữ liệu của chúng tôi đã đem lại rất ít thông tin.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/search1.png,,,
shut down,/ʃʌt/,v.,"Tắt máy, ngừng hoạt động",Please shut down the computer before you leave.,Vui lòng tắt máy trước khi bạn ngừng làm việc.,Computers and the Internet,B1,https://audio.tflat.vn/data/cache/images/300x225/s/h/shut_down2.jpg,,,
warning,/'wɔ:niɳ/,n.,Sự cảnh báo ,The red flashing light gives a warning to users that the battery is low.,Ánh sáng nhấp nháy màu đỏ đưa ra sự cảnh báo với người dùng rằng pin bị cạn.,Computers and the Internet,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_red_fl_ex1_56248d157f8b9a040dc65e14.jpg,,,
conference,/ˈkɒnf(ə)r(ə)n/,n.,Hội nghị,"That room is used for exhibitions, conferences and social events.","Căn phòng đó được dùng cho triển lãm, hội nghị và các sự kiện xã hội.",Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/conference1.jpg,,,
accommodate,/ə'kɔmədeit/,v.,Làm cho phù hợp,The meeting room was large enough to accommodate the various needs of the groups using it.,Phòng họp đủ lớn để phù hợp với nhiều nhu cầu khác nhau của các nhóm sử dụng nó.,Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/accommodate2.jpg,,,
arrangement,/ə'reindʤmənt/,n.,Sự sắp xếp,"The travel arrangements were taken care of by Sara, Mr. Billing's capable assistant.","Việc thu xếp chuyến đi được chịu trách nhiệm bởi Sara, trợ lý có năng lực của ông Billing.",Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/a/r/arrangement2.jpg,,,
association,"/ə,sousi'eiʃn/",n.,"Hội, hiệp hội",I know that ASEAN stands for the Association of Southeast Asian Nations.,Tôi biết rằng ASEAN là viết tắt của Hiệp Hội Các Nước Đông Nam Á.,Conference,B1,https://audio.tflat.vn/data/images_example/300x225/i/_/i_know_tha_ex1_580de37b7f8b9a3e688b4579.jpg,,,
attend,/ə'tend/,v.,"Tham dự, có mặt",We expect more than 100 members to attend the annual meeting.,Chúng tôi hy vọng hơn 100 thành viên đến tham dự cuộc họp thường niên.,Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/a/t/attend1.jpg,,,
get in touch,/ɡɛt ɪn tʌtʃ/,v.,Liên lạc với ,"As soon as we arrive at the hotel, we will get in touch with the manager about the unexpected guests.","Ngay khi chúng tôi đến khách sạn, chúng tôi sẽ liên hệ với giám đốc về những vị khách không mời mà đến.",Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/g/e/get_in_touch2.jpg,,,
hold,/hould/,v.,"Chứa, đựng, tổ chức ",This meeting room holds at least 80 people comfortably.,Phòng họp này chứa được thoải mái ít nhất 80 người.,Conference,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/this_meeti_ex1_56248d157f8b9a040dc65de8.jpg,,,
location,/lou'keiʃn/,n.,Vị trí,The location of the meeting was changed from the Red Room to the Green Room.,Vị trí họp đã được thay đổi từ phòng Đỏ sang phòng Xanh.,Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/l/o/location1.png,,,
overcrowded,/əʊvəˈkraʊdɪd/,adj.,"Chật ních, đông nghịt",Too many poor people are living in overcrowded conditions.,Có quá nhiều người nghèo đang sống trong điều kiện chật chội.,Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/o/v/overcrowded1.jpg,,,
register,/'redʤistə/,v.,Đăng ký,You can register this mail for an additional $2.2.,Anh ấy có thể gửi đảm bảo thư này với một khoản 2.2 đô-la phí bổ sung.,Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/register1.jpg,,,
select,/si'lekt/,v.,"Chọn lựa, chọn lọc",They were selected to match her clothes.,Chúng đã được chọn để hợp với trang phục của cô ấy.,Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/select1.png,,,
session,/'seʃn/,n.,"Kỳ họp, buổi họp","The morning sessions tend to fill up first, so sign up early.","Các phiên họp sáng có khuynh hướng kín chỗ trước hết, vì vậy hãy đăng ký sớm.",Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/session1.png,,,
take part in,/teɪk pɑːt ɪn/,v.,"Tham dự, tham gia","We could not get enough people to take part in the meeting, so we canceled it.","Chúng tôi không có đủ người tham dự cuộc họp, vì vậy chúng tôi hủy bỏ nó.",Conference,B1,https://audio.tflat.vn/data/cache/images/300x225/t/a/take_part_in2.jpg,,,
characteristic,"/,kæriktə'ristik/",n.,"Đặc trưng, đặc điểm, đặc thù, cá biệt",One characteristic of the store is that it is slow in mailing refund checks.,Một đặc điểm của cửa hàng là nó chậm chạp trong việc gửi hóa đơn hoàn trả.,Warranties,B1,https://audio.tflat.vn/data/images_example/300x225/o/n/one_charac_ex1_580de3767f8b9a3e688b456d.jpg,,,
consequence,/'kɔnsikwəns/,n.,"Kết quả, hậu quả, hệ quả; tầm quan trọng, tính trọng đại","As a consequence of not having seen a dentist for several years, Lydia had several cavities.","Hậu quả của việc không đi khám nha sĩ trong vài năm, Lydia đã bị vài răng sâu.",Warranties,B1,https://audio.tflat.vn/data/images_example/300x225/a/s/as_a_conse_ex1_580de3767f8b9a3e688b456f.jpg,,,
consider,/kən'sidə/,v.,Xem như,You shouldn't consider marrying a man for his money.,Bạn không nên nghĩ rằng lấy một người đàn ông vì tiền của anh ta.,Warranties,B1,https://audio.tflat.vn/data/images_example/300x225/y/o/you_should_ex1_56248d147f8b9a040dc65dc0.png,,,
cover,/'kʌvə/,v.,"Che, phủ, trùm, bọc; bao gồm",The passport is covered with leather.,Quyển hộ chiếu được bọc bằng da.,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/cover1.jpg,,,
expiration,"/,ekspaiə'reiʃn/",n.,"Sự mãn hạn, sự hết hạn, sự kết thúc",Have you checked the expiration date on this yogurt?,Anh đã kiểm tra hạn sử dụng của món sữa chua này chưa?,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/expiration1.png,,,
frequently,/ˈfriːkwəntli/,adv.,"Thường xuyên, một cách thường xuyên",Appliances frequently come with a one-year warranty.,Trang thiết bị thường có bảo hành một năm.,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/f/r/frequently1.jpeg,,,
imply,/im'plai/,v.,"Ngụ ý, hàm ý, ẩn ý, ý nói",The guarantees on the Walkman imply that all damages were covered under warranty for one year.,Giấy bảo đảm theo máy nghe nhạc Walkman đã ngụ ý rằng mọi hư hỏng đều được bao gồm trong thời hạn bảo hành là 1 năm.,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/i/m/imply2.jpg,,,
promise,/ˈprɒmɪs/,v.,Hứa hẹn,Please promise not to tell anyone!,Xin hãy hứa là không nói với ai!,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/promise1.jpg,,,
protect,/prəˈtekt/,v.,"Bảo vệ, bảo hộ, che chở",Consumer laws are designed to protect the public against unscrupulous vendors.,Luật tiêu dùng được thiết kế để bảo vệ công chúng trước những kẻ bán hàng vô lương tâm.,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/protect1.png,,,
reputation,"/,repju:'teiʃn/",n.,"Danh tiếng, thanh danh, tiếng (tốt của nhân vật)",Hogwarts is a school with an excellent reputation.,Hogwarts là một trường học với một danh tiếng xuất sắc.,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/reputation1.jpg,,,
require,/ri'kwaiə/,v.,"Đòi hỏi, yêu cầu",The law requires that each item clearly display the warranty information.,Luật pháp yêu cầu mỗi món hàng trình bày rõ ràng thông tin về bảo hành.,Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/require1.jpg,,,
variety,/və'raiəti/,n.,"Sự đa dạng, trạng thái muôn màu","Thanks to the development of the media, people have more chances to see a variety of programs.","Nhờ sự phát triển của các phương tiện truyền thông, người dân có nhiều cơ hội hơn để xem một loạt các chương trình.",Warranties,B1,https://audio.tflat.vn/data/cache/images/300x225/v/a/variety1.jpg,,,
anxious,/'æɳkʃəs/,adj.,"Lo lắng, băn khoăn",He seemed anxious about the meeting.,Anh ta có vẻ lo lắng về cuộc họp.,Product Development,B1,https://audio.tflat.vn/data/cache/images/300x225/a/n/anxious1.png,,,
